USAF	WBAN	STATION NAME	CTRY	ST CALL	LAT	LON	ELEV(M)	BEGIN	END
11170	99999	TJOTTA	NO		65.817	12.417	#FIELD!	20040119	20190423
11210	99999	SOLVAER III	NO		66.367	12.617	#FIELD!	19730101	20190423
11220	99999	KJAERSTAD	NO	ENMS	65.784	13.215	#FIELD!	19881014	20190423
11240	99999	SNASA	NO		64.167	12.467	#FIELD!	20050218	20190423
11310	99999	GLAPEN LIGHTHOUSE	NO		67.883	13.050	#FIELD!	19730101	19850625
11320	99999	MAJAVATN V	NO		65.167	13.367	#FIELD!	20080229	20190423
11330	99999	LAKSFORS	NO		65.617	13.283	#FIELD!	20111129	20190423
11340	99999	MAJAVATN III	NO		65.183	13.417	#FIELD!	19730101	20070630
11350	99999	SELJELIA	NO		66.117	13.583	#FIELD!	20111129	20190423
11370	99999	STOTT	NO		66.933	13.450	#FIELD!	19730806	20070307
11380	99999	TENNHOLMEN (LGT-H)	NO		67.300	13.500	#FIELD!	19850912	20070307
11390	99999	VAEROY HELIPORT	NO	ENVR	67.650	12.717	#FIELD!	20110928	20190423
11410	99999	LEKNES	NO	ENLK	68.150	13.617	#FIELD!	19730620	20190423
11430	99999	DRAG-AJLUOKTA	NO		68.050	16.083	#FIELD!	20070806	20180917
11440	99999	HELLIGVAER II	NO		67.400	13.883	#FIELD!	20050315	20190423
11450	99999	KVALNES I LOFOTEN	NO		68.350	13.967	#FIELD!	19730101	19820504
11460	99999	SKAMDAL	NO		66.233	13.883	#FIELD!	19730101	20190423
11470	99999	VARNTRESK	NO		65.833	14.183	#FIELD!	19400907	20190423
11480	99999	STORFORSHEI	NO		66.383	14.517	#FIELD!	20110616	20190423
11490	99999	RANA-BASMOEN	NO		66.333	14.100	#FIELD!	19730101	20070228
11500	99999	HJARTASEN	NO		66.500	14.950	#FIELD!	19730103	20190423
11501	99999	HATTFJELLDAL-KRUTA	NO		65.683	14.167	#FIELD!	20020312	20020312
11505	99999							19751101	19751130
11510	99999	MOIRANA	NO	ENRA	66.367	14.300	#FIELD!	19730401	20190423
11520	99999	BODO	NO	ENBO	67.269	14.365	#FIELD!	19400917	20190423
11530	99999	BODO-VAGONES	NO		67.283	14.450	#FIELD!	20111003	20140611
11540	99999	LITLOY FYR	NO		68.583	14.300	#FIELD!	19940406	20170801
11550	99999	BO I VESTERALEN II	NO		68.633	14.467	#FIELD!	19730101	20041201
11560	99999	BO I VESTERALEN	NO		68.600	14.433	#FIELD!	20040510	20190423
11580	99999	SETSA	NO		67.167	15.483	#FIELD!	20100114	20190423
11600	99999	SKROVA FYR	NO		68.150	14.650	#FIELD!	19730101	20190423
11610	99999	SVOLVAER/HELLE	NO	ENSH	68.250	14.667	#FIELD!	19730620	20190423
11620	99999	STORKMARKNES/SKAGEN	NO	ENSK	68.583	15.017	#FIELD!	19730620	20190423
11630	99999	BOLNA	NO		66.500	15.250	#FIELD!	19730101	19770823
11650	99999	GROTOY	NO		67.833	14.783	#FIELD!	19730101	19781031
11670	99999	SORTLAND	NO		68.700	15.417	#FIELD!	19850201	20190423
11680	99999	KLEIVA I SORTLAND	NO		68.650	15.283	#FIELD!	19730101	20060611
11690	99999	SALTDAL-NORDNES	NO		66.933	15.317	#FIELD!	19830101	20190423
11691	99999	OVRE SALTDAL	NO		66.967	15.317	#FIELD!	19730101	19781008
11700	99999	FAUSKE-VETEN	NO		67.233	15.317	#FIELD!	19730101	19900307
11720	99999	FINNOY I HAMAROY	NO		68.000	15.617	#FIELD!	19730101	20060311
11730	99999							19730101	19730731
11751	99999	LODINGEN	NO		68.400	16.000	#FIELD!	20040108	20040108
11760	99999	KONGSVIK	NO		68.567	16.267	#FIELD!	19730101	19780118
11800	99999	HARSTAD	NO		68.800	16.533	#FIELD!	20040510	20190423
11820	99999	EVENSKJER	NO		68.583	16.583	#FIELD!	19730101	19851119
11830	99999	EVENES	NO	ENEV	68.491	16.678	#FIELD!	19750905	20190423
11840	99999	SANDSOY I SENJA	NO		68.933	16.683	#FIELD!	19730101	19780613
11841	99999	SANDSOY	NO		68.933	16.683	#FIELD!	20070307	20070307
11890	99999	LILAND	NO		68.483	16.883	#FIELD!	19730102	20050302
11895	99999							19731008	19750904
11910	99999	SKJOMEN-SLETTJORD	NO		68.283	17.317	#FIELD!	19730101	19961104
11920	99999	STRAUMSNES	NO		68.417	17.650	#FIELD!	20110203	20190423
11930	99999	NARVIK III/FRAMNES	NO	ENNK	68.467	17.500	#FIELD!	19960101	20170403
11940	99999	NARVIK III	NO	ENNK	68.467	17.500	#FIELD!	19730101	20041231
11960	99999	TENNEVOLL	NO		68.750	17.817	#FIELD!	19730101	20020808
11980	99999	DIVIDALEN II	NO		68.783	19.700	#FIELD!	20100114	20190423
11990	99999	SIHCCAJAVRI	NO		68.750	23.533	#FIELD!	19490101	20190423
12030	99999	KRAKENES	NO		62.033	4.983	#FIELD!	19310904	20190423
12050	99999	SVINOY LH	NO		62.333	5.267	#FIELD!	19730101	20190423
12070	99999	FISKABYGD	NO		62.100	5.583	#FIELD!	20040510	20180630
12090	99999	ORSTA-VOLDA/HOVDEN	NO	ENOV	62.183	6.067	#FIELD!	19841211	20190423
12091	99999	ORSTA-VOLDA/HOVD	NO	ENOV	62.183	6.050	#FIELD!	19840910	19841127
12100	99999	VIGRA	NO	ENAL	62.560	6.110	#FIELD!	19730101	20190423
12120	99999	ONA II	NO		62.867	6.533	#FIELD!	19550101	20190423
12140	99999	REKDAL	NO		62.650	6.767	#FIELD!	20090112	20190423
12150	99999	HJELVIK MYRBO	NO		62.620	7.230	#FIELD!	19730101	20090630
12160	99999	HJELVIK I ROMSDAL	NO		62.617	7.217	#FIELD!	19731226	20020527
12161	99999	GJERMUNDNES	NO		62.617	7.167	#FIELD!	20040412	20040412
12170	99999	ARO	NO	ENML	62.745	7.263	#FIELD!	19760201	20190423
12180	99999	TAFJORD	NO		62.233	7.417	#FIELD!	19730101	20190423
12200	99999	MANNEN	NO		62.450	7.767	#FIELD!	20100315	20190423
12210	99999	TAGDALEN	NO		63.050	9.083	#FIELD!	20080115	20190423
12220	99999							19730101	19751231
12230	99999	KVERNBERGET	NO	ENKB	63.112	7.825	#FIELD!	19730101	20190423
12240	99999	AALESUND	NO		62.467	6.217	#FIELD!	19841201	20190423
12241	99999	SKALMEN FYR	NO		63.467	7.750	#FIELD!	19960101	19961231
12250	99999	VEIHOLMEN	NO		63.517	7.950	#FIELD!	19730101	20190423
12270	99999	INNERDALEN	NO		62.717	8.783	#FIELD!	19730101	20190423
12273	99999	TINGVOLL-HANEM	NO		62.833	8.300	#FIELD!	19960101	20150108
12280	99999	SULA	NO		63.850	8.467	#FIELD!	19730101	20190423
12300	99999	BJORLI	NO		62.267	8.200	#FIELD!	19730101	20190423
12310	99999	LESJASKOG	NO		62.233	8.367	#FIELD!	19771030	20080731
12320	99999	VINJEORA II	NO		62.450	7.850	#FIELD!	19730101	20190423
12330	99999	DOMBAAS	NO		62.083	9.117	#FIELD!	20061121	20190423
12340	99999	ORKDAL-THAMSHAMN	NO		63.317	9.850	#FIELD!	20061121	20190423
12350	99999	DOMBAS-KIRKENAER	NO		62.083	9.133	#FIELD!	19360101	19760602
12360	99999	KJOREMSGRENDE	NO		62.100	9.050	#FIELD!	20050218	20100104
12370	99999	HITRA	NO		63.517	9.117	#FIELD!	20050402	20190423
12380	99999	FOKSTUA II	NO		62.117	9.283	#FIELD!	19730101	20190423
12390	99999	HJERKINN II	NO		62.217	9.550	#FIELD!	20100907	20190423
12400	99999	HALTEN FYR	NO		64.167	9.400	#FIELD!	19850110	20190423
12410	99999	ORLAND	NO	ENOL	63.699	9.604	#FIELD!	19730101	20190423
12420	99999	AFJORD II	NO		63.967	10.217	#FIELD!	20080115	20190423
12430	99999	SONGLI	NO		63.333	9.650	#FIELD!	19730101	19761119
12450	99999	OPPDAL-SETER	NO		62.600	9.667	#FIELD!	19760201	20190423
12480	99999	VALLERSUND	NO		63.850	9.733	#FIELD!	19730101	19751219
12500	99999	FOLLDAL-FREDHEIM	NO		62.133	10.000	#FIELD!	20110928	20190423
12520	99999	BERKAK-LYNGHOLT	NO		62.817	10.017	#FIELD!	19730101	20080930
12530	99999	SOKNEDAL	NO		62.950	10.183	#FIELD!	20090112	20190423
12540	99999	KOTSOY	NO		62.983	10.550	#FIELD!	20090112	20190423
12570	99999	TRONDHEIM/VOLL	NO		63.417	10.450	#FIELD!	20040406	20190423
12580	99999	TRONDHEIM (TYHOLT)	NO		63.417	10.433	#FIELD!	19730101	19810714
12590	99999	BUHOLMRASA LH	NO		64.400	10.450	#FIELD!	19730101	20190423
12620	99999	NORDOYAN FYR	NO		64.800	10.550	#FIELD!	19280102	20190423
12650	99999	TYNSET-HANSMOEN	NO		62.267	10.733	#FIELD!	19490101	20190423
12680	99999							19730101	19750125
12700	99999	KVITHAMAR	NO		63.483	10.883	#FIELD!	20111003	20190423
12710	99999	VAERNES	NO	ENVA	63.458	10.940	#FIELD!	19400413	20190423
12720	99999	FROSTA	NO		63.567	10.700	#FIELD!	20110929	20190423
12730	99999	SELBU	NO		63.233	11.017	#FIELD!	20071016	20190423
12740	99999	SELBU-STUBBE	NO		63.200	11.117	#FIELD!	19730101	20061115
12770	99999	STEINKJER	NO		64.017	11.450	#FIELD!	19730101	20190423
12771	99999	LEVANGER-EGGEN	NO		63.717	11.233	#FIELD!	19730101	19730216
12780	99999	VERDAL-REPPE	NO		63.783	11.683	#FIELD!	19850102	20181031
12800	99999	NAMDALSEID-VENGSTAD	NO		64.133	11.333	#FIELD!	19730101	20081231
12810	99999	NAMSSKOGAN	NO		64.733	12.850	#FIELD!	20070105	20190423
12820	99999	RORVIK/RYUM	NO	ENRM	64.850	11.233	#FIELD!	19950901	20190423
12823	99999	RORVIK/RYUM	NO		64.850	11.233	#FIELD!	19910827	19950831
12870	99999	SOLENDET	NO		62.683	11.817	#FIELD!	20080115	20190423
12880	99999	ROROS	NO		62.567	11.383	#FIELD!	19730101	20190423
12890	99999	ROROS LUFTHAVN	NO	ENRO	62.583	11.350	#FIELD!	19840909	20041230
12891	99999	ROROS/AIRPORT	NO	ENRO	62.583	11.383	#FIELD!	19790301	19840817
12900	99999	NAMSOS AIRPORT	NO	ENNM	64.467	11.583	#FIELD!	19730401	20190423
12910	99999	GARTLAND	NO		64.533	12.383	#FIELD!	20090112	20190423
12920	99999	MERAKER-UTSYN	NO		63.417	11.700	#FIELD!	19730101	20040930
12930	99999	MERAKER-EGGE	NO		63.417	11.733	#FIELD!	20050215	20190423
12940	99999							19730101	19740629
12950	99999	HOYLANDET	NO		64.550	12.150	#FIELD!	19730101	20070612
12960	99999	BERG I SNASA	NO		64.250	12.417	#FIELD!	19730101	19770606
12980	99999	NORDLI-HOLAND	NO		64.450	13.717	#FIELD!	19730101	20190423
13000	99999	GULLFAKS C	NO		61.200	2.267	#FIELD!	20010601	20190423
13005	99999	STATFJORD OIL PLATFORM HELIPO	FO	ENSF	61.250	1.850	#FIELD!	19841204	20190423
13040	99999	YTTEROYANE FYR	NO		61.567	4.683	#FIELD!	19840901	20190423
13060	99999	HELLISOY FYR	NO		60.750	4.717	#FIELD!	19730101	20041229
13070	99999	FEDJE	NO		60.750	4.717	#FIELD!	20050218	20190423
13080	99999	FURUNESET	NO		61.300	5.050	#FIELD!	20110928	20190423
13090	99999	KINN ISLAND	NO		61.567	4.800	#FIELD!	19310104	20051022
13100	99999	FLORO	NO	ENFL	61.584	5.025	#FIELD!	19800407	20190423
13110	99999	FLESLAND	NO	ENBR	60.293	5.218	#FIELD!	19730101	20190423
13140	99999	FOSSMARK	NO		60.517	5.717	#FIELD!	20120615	20190423
13150	99999	EVANGER	NO		60.633	6.100	#FIELD!	20101214	20190423
13160	99999	BERGEN-FREDRIKSBERG	NO		60.400	5.317	#FIELD!	19730101	19851230
13170	99999	BERGEN/FLORIDA	NO		60.383	5.333	#FIELD!	19730101	20190423
13180	99999	SANDANE	NO		61.783	6.183	#FIELD!	20050614	20171231
13190	99999	TAKLE	NO		61.033	5.383	#FIELD!	19730101	20190423
13200	99999	SANDANE/ANDA	NO	ENSD	61.833	6.117	#FIELD!	19810904	20190423
13210	99999	STRYN	NO		61.900	6.550	#FIELD!	19730101	20190423
13220	99999	FORDE-TEFRE	NO		61.467	5.917	#FIELD!	19730101	20171223
13230	99999	BRINGELAND	NO	ENBL	61.393	5.764	#FIELD!	19840502	20190423
13250	99999	MODALEN II	NO		60.833	5.950	#FIELD!	19730101	20080924
13260	99999	MODALEN III	NO		60.850	5.983	#FIELD!	20081008	20190423
13270	99999	KVAMSKOGEN-JONSHOGDI	NO		60.383	5.967	#FIELD!	20061121	20190423
13280	99999	KVAMSKOGEN	NO		60.400	5.917	#FIELD!	19730101	20060726
13290	99999	KVAMSOY	NO		60.350	6.267	#FIELD!	20050218	20190423
13300	99999	OMASTRAND	NO		60.217	5.983	#FIELD!	19730101	20050910
13320	99999	FJAERLAND BREMUSEET	NO		61.430	6.770	#FIELD!	20060201	20190423
13360	99999	BULKEN	NO		60.650	6.217	#FIELD!	19730101	20190423
13370	99999	VOSSEVANGEN	NO		60.633	6.433	#FIELD!	20050218	20190423
13380	99999	VANGSNES	NO		61.167	6.650	#FIELD!	20040706	20190423
13390	99999	VANGSNES	NO		61.167	6.650	#FIELD!	19730101	20011102
13400	99999	FET I EIDFJORD	NO		60.420	7.280	#FIELD!	20050726	20190423
13410	99999	EIDFJORD-BU	NO		60.467	6.867	#FIELD!	19830101	20070227
13420	99999	ULLENSVANG	NO		60.317	6.650	#FIELD!	19730101	20190423
13440	99999	MJOLFJELL	NO		60.700	6.950	#FIELD!	19730101	20190423
13450	99999	KLEVAVATNET	NO		60.717	7.217	#FIELD!	19731007	20190423
13460	99999	MIDTSTOVA	NO		60.650	7.267	#FIELD!	20111125	20190423
13470	99999	SOGNDAL HAUKASEN	NO	ENSG	61.156	7.137	#FIELD!	19850118	20190423
13471	99999	SOGNDAL/HAUKASEN	NO	ENSG	61.167	7.133	#FIELD!	19840801	19841217
13500	99999	FINSEVATN	NO		60.600	7.533	#FIELD!	20030330	20190423
13510	99999	FINSE III	NO		60.600	7.500	#FIELD!	19730102	20011210
13520	99999	SANDHAUG	NO		60.183	7.483	#FIELD!	20040107	20190423
13550	99999	LAERDAL IV	NO		61.100	7.500	#FIELD!	19730101	20190423
13560	99999	FANNARAKI	FO		61.517	7.900	#FIELD!	19881125	20140827
13570	99999	HOLLEKOLTEN	NO		60.867	8.517	#FIELD!	19730101	20190423
13580	99999	HEMSEDAL II	NO		60.850	8.600	#FIELD!	20110929	20190423
13590	99999	GEILO-OLDEBRATEN	NO		60.533	8.200	#FIELD!	19730101	20190423
13591	99999	HAUGASTOL	NO		60.517	7.867	#FIELD!	20070307	20070307
13600	99999	BRATA-SLETTOM	NO		61.900	7.900	#FIELD!	19730101	20190412
13610	99999	GROTLI III	NO		62.017	7.667	#FIELD!	19730101	20190423
13620	99999	JUVVASSHOE	NO		61.667	8.367	#FIELD!	20090626	20190423
13630	99999							19730101	19740906
13640	99999	FILEFJELL	NO		61.183	8.117	#FIELD!	19490101	20190423
13650	99999	BEITOSTOLEN II	NO		61.251	8.917	#FIELD!	19730404	20190423
13660	99999	SOGNEFJELL	NO		61.567	8.000	#FIELD!	19790301	20190423
13670	99999	FAGERNES	NO		60.983	9.217	#FIELD!	19821001	20190423
13671	99999	BEITOSTOLEN	NO		61.233	8.933	#FIELD!	19730101	19801105
13680	99999	LEIRIN	NO	ENFG	61.016	9.288	#FIELD!	19881014	20190423
13690	99999	ABJORSBRATEN	NO		60.917	9.283	#FIELD!	19881001	20171230
13700	99999	SKABU	NO		61.517	9.400	#FIELD!	19730101	20190423
13710	99999	LOKEN I VOLBU	NO		61.117	9.067	#FIELD!	19730101	20190423
13720	99999	NESBYEN-SKOGLUND	NO		60.567	9.133	#FIELD!	19730101	20040121
13730	99999	NESBYEN-TODOKK	NO		60.567	9.133	#FIELD!	19730101	20190423
13740	99999	VEST-TORPA II	NO		60.933	10.033	#FIELD!	19810501	20190423
13741	99999							19730101	19790810
13743	99999	FAGERNES/LEIRIN   &	NO		61.000	9.300	#FIELD!	19880105	19880913
13750	99999	KVITFJELL	NO		61.467	10.133	#FIELD!	19730101	20190423
13755	99999	GULLFAX (PLATFORM)	NO	ENGC	61.033	2.033	#FIELD!	19891115	20190423
13760	99999	GULSVIK II	NO		60.383	9.600	#FIELD!	19730101	20190423
13780	99999	LILLEHAMMER-SAETHERENGEN	NO		61.100	10.467	#FIELD!	19730101	20190423
13790	99999	SOR-NESSET	NO		61.883	10.150	#FIELD!	19730101	20051209
13800	99999	VENABU	NO		61.650	10.117	#FIELD!	19850110	20190423
13801	99999	KITTILBU	NO		61.167	9.967	#FIELD!	19741114	19840827
13810	99999	APELSVOLL	NO		60.700	10.867	#FIELD!	20111003	20190423
13820	99999	KISE	NO		60.767	10.800	#FIELD!	19730101	20190423
